#OK
#SQL= select *
#	  from millimil..MMField
#	 where snapnum=63 
#	   
#MAXROWS UNLIMITED
#QUERYTIMEOUT 30 sec
#DATE 2022-06-28 07:42:28.918 CEST
#QUERYTIME 55 millisec
#COLUMN 1 name=snapnum JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 2 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 3 name=cic JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=g1_25 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=g2_5 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=g5 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=g10 JDBC_TYPE=7 JDBC_TYPENAME=real
#snapnum,phkey,cic,g1_25,g2_5,g5,g10
63,330,0.4694699,0.4327243,0.40193897,0.5194057,0.84783167
63,331,0.6975457,0.7165711,0.47464597,0.49676046,0.8355194
63,332,0.34627566,0.37233046,0.36158523,0.43098137,0.7824809
63,333,0.12985338,0.2515864,0.31847078,0.4477237,0.79443175
63,334,0.14317167,0.20550399,0.3102119,0.44817027,0.7926831
63,335,0.26137155,0.25193852,0.3036888,0.41045588,0.77657515
63,336,0.15482518,0.17212121,0.23710099,0.3764605,0.7309497
63,337,0.10321679,0.15128435,0.25355086,0.40678716,0.7462988
63,338,0.13318294,0.18751329,0.2574487,0.4026471,0.74786264
63,339,0.33795175,0.22813173,0.2610318,0.38875994,0.737106
63,340,0.08157456,0.15609194,0.22623447,0.37037933,0.70088047
63,341,0.21975186,0.21676737,0.25021744,0.38295585,0.70975685
63,342,0.16148433,0.18187101,0.24624692,0.38876942,0.7076527
63,343,0.086568914,0.14660653,0.22159062,0.3641071,0.6938869
63,344,0.21309271,0.16453388,0.20393479,0.34113565,0.682555
63,345,0.07990977,0.11611401,0.17726927,0.3176206,0.6745282
63,346,0.10987593,0.1173388,0.16839291,0.32793993,0.70895666
63,347,0.1648139,0.16724198,0.20901467,0.3510457,0.71823
63,348,0.10654636,0.14010988,0.24399704,0.3778875,0.7287637
63,349,0.06992105,0.091536574,0.20935059,0.36523005,0.7234434
63,350,0.11653508,0.11272932,0.20451243,0.34439695,0.69094324
63,351,0.06492669,0.1130885,0.21432747,0.3587939,0.6943796
63,352,0.063261904,0.15306225,0.27347714,0.39048922,0.7215882
63,353,0.15981954,0.18534096,0.27921793,0.3882916,0.7219863
63,354,0.086568914,0.14289527,0.31433156,0.42289364,0.7529026
63,355,0.071585834,0.19161713,0.33508402,0.42188162,0.7550375
63,356,0.3296278,0.40292162,0.44045413,0.48316434,0.79373884
63,357,0.30798557,0.3591588,0.45427322,0.5009593,0.793931
63,358,0.43617415,0.3757235,0.3615993,0.45196298,0.7644291
63,359,0.16148433,0.30856583,0.34057716,0.4385792,0.7611021
63,360,0.3296278,0.30776536,0.2961467,0.41882983,0.7601536
63,361,0.10488157,0.19276194,0.24513093,0.39985844,0.7611291
63,362,0.4694699,0.27694768,0.2569177,0.38569957,0.7284364
